Node,dark,light,table,interfaces,connection
"R3
3.3.3.3
",[],[],"['N', 'N', 'N', 'N']","['R3\n3.3.3.3\n', 0, ['3.3.3.3', '192.168.11.3', '192.168.1.10', '1133::3', 'fe80::ca67:ffff:fe00:0', '192.168.1.6']]",
"R6
6.6.6.6
6666::1","[['R6\n6.6.6.6\n6666::1', '192.168.2.1', '100', 'eBGP\nIPv4'], ['R6\n6.6.6.6\n6666::1', '2222::1', '100', 'eBGP\nIPv6']]","[['R6\n6.6.6.6\n6666::1', '1.1.1.1', '100', 'eBGP\nIPv4'], ['R6\n6.6.6.6\n6666::1', '2.2.2.2', '100', 'eBGP\nIPv4'], ['R6\n6.6.6.6\n6666::1', '3.3.3.3', '100', 'eBGP\nIPv4'], ['R6\n6.6.6.6\n6666::1', '6.6.6.6', '200', 'iBGP\nIPv4'], ['R6\n6.6.6.6\n6666::1', '7.7.7.7', '300', 'eBGP\nIPv4'], ['R6\n6.6.6.6\n6666::1', '1000::1', '100', 'eBGP\nIPv6'], ['R6\n6.6.6.6\n6666::1', '6666::1', '200', 'iBGP\nIPv6']]","['13', '6', '9', '3']","['R6\n6.6.6.6\n6666::1', '200', ['6.6.6.6', '6666::1', '10.6.0.1', '1111::1', 'fe80::ca6a:ffff:fe00:0', '192.168.11.6', '192.168.2.2', '2222::2', 'fe80::ca6a:ffff:fe00:0']]",
"R7
7.7.7.7
","[['R7\n7.7.7.7\n', '192.168.2.5', '100', 'eBGP\nIPv4']]","[['R7\n7.7.7.7\n', '1.1.1.1', '100', 'eBGP\nIPv4'], ['R7\n7.7.7.7\n', '2.2.2.2', '100', 'eBGP\nIPv4'], ['R7\n7.7.7.7\n', '3.3.3.3', '100', 'eBGP\nIPv4'], ['R7\n7.7.7.7\n', '6.6.6.6', '200', 'eBGP\nIPv4'], ['R7\n7.7.7.7\n', '7.7.7.7', '300', 'iBGP\nIPv4']]","['13', 'N', '9', 'N']","['R7\n7.7.7.7\n', '300', ['7.7.7.7', '10.7.0.1', '192.168.11.7', '192.168.2.6']]",
"R1
1.1.1.1
1000::1","[['R1\n1.1.1.1\n1000::1', '2.2.2.2', '100', 'iBGP\nIPv4'], ['R1\n1.1.1.1\n1000::1', '192.168.2.2', '200', 'eBGP\nIPv4'], ['R1\n1.1.1.1\n1000::1', '1000::5', '100', 'iBGP\nIPv6'], ['R1\n1.1.1.1\n1000::1', '2222::2', '200', 'eBGP\nIPv6']]","[['R1\n1.1.1.1\n1000::1', '1.1.1.1', '100', 'iBGP\nIPv4'], ['R1\n1.1.1.1\n1000::1', '2.2.2.2', '100', 'iBGP\nIPv4'], ['R1\n1.1.1.1\n1000::1', '4.4.4.4', '100', 'iBGP\nIPv4'], ['R1\n1.1.1.1\n1000::1', '5.5.5.5', '100', 'iBGP\nIPv4'], ['R1\n1.1.1.1\n1000::1', '6.6.6.6', '200', 'eBGP\nIPv4'], ['R1\n1.1.1.1\n1000::1', '7.7.7.7', '300', 'eBGP\nIPv4'], ['R1\n1.1.1.1\n1000::1', '7.7.7.7', '100', 'iBGP\nIPv4'], ['R1\n1.1.1.1\n1000::1', '1000::1', '100', 'iBGP\nIPv6'], ['R1\n1.1.1.1\n1000::1', '1000::5', '100', 'iBGP\nIPv6'], ['R1\n1.1.1.1\n1000::1', '1010::10', '400', 'eBGP\nIPv6'], ['R1\n1.1.1.1\n1000::1', '1010::10', '100', 'iBGP\nIPv6'], ['R1\n1.1.1.1\n1000::1', '6666::1', '200', 'eBGP\nIPv6']]","['17', '12', '4', '4']","['R1\n1.1.1.1\n1000::1', '100', ['1.1.1.1', '1000::1', '192.168.11.1', '192.168.1.1', '192.168.1.9', '1133::1', 'fe80::ca65:ffff:fe00:0', '192.168.1.13', '1144::1', 'fe80::ca65:ffff:fe00:0', '192.168.2.1', '2222::1', 'fe80::ca65:ffff:fe00:0']]","['R1\n1.1.1.1\n1000::1', '1.1.1.1', '2.2.2.2', '4.4.4.4', '5.5.5.5', '6.6.6.6', '7.7.7.7', '1000::1', '1000::5', '1010::10', '6666::1']"
"R2
2.2.2.2
","[['R2\n2.2.2.2\n', '1.1.1.1', '100', 'iBGP\nIPv4'], ['R2\n2.2.2.2\n', '192.168.2.6', '300', 'eBGP\nIPv4']]","[['R2\n2.2.2.2\n', '1.1.1.1', '100', 'iBGP\nIPv4'], ['R2\n2.2.2.2\n', '2.2.2.2', '100', 'iBGP\nIPv4'], ['R2\n2.2.2.2\n', '4.4.4.4', '100', 'iBGP\nIPv4'], ['R2\n2.2.2.2\n', '6.6.6.6', '200', 'eBGP\nIPv4'], ['R2\n2.2.2.2\n', '6.6.6.6', '100', 'iBGP\nIPv4'], ['R2\n2.2.2.2\n', '7.7.7.7', '300', 'eBGP\nIPv4']]","['15', 'N', '4', 'N']","['R2\n2.2.2.2\n', '100', ['2.2.2.2', '192.168.11.2', '192.168.1.2', '192.168.1.5', '192.168.2.5']]","['R2\n2.2.2.2\n', '1.1.1.1', '2.2.2.2', '4.4.4.4', '6.6.6.6', '7.7.7.7']"
"R4
4.4.4.4
",[],[],"['N', 'N', 'N', 'N']","['R4\n4.4.4.4\n', 0, ['4.4.4.4', '192.168.11.4', '192.168.1.14', '1144::4', 'fe80::ca68:ffff:fe00:0', '192.168.1.17', '4455::4', 'fe80::ca68:ffff:fe00:0']]",['R4\n4.4.4.4\n']
"R5
5.5.5.5
1000::5","[['R5\n5.5.5.5\n1000::5', '1000::1', '100', 'eBGP\nIPv6'], ['R5\n5.5.5.5\n1000::5', '1212::2', '400', 'eBGP\nIPv6']]","[['R5\n5.5.5.5\n1000::5', '1000::1', '100', 'eBGP\nIPv6'], ['R5\n5.5.5.5\n1000::5', '1000::5', '100', 'eBGP\nIPv6'], ['R5\n5.5.5.5\n1000::5', '1010::10', '400', 'eBGP\nIPv6'], ['R5\n5.5.5.5\n1000::5', '6666::1', '200', 'eBGP\nIPv6'], ['R5\n5.5.5.5\n1000::5', '6666::1', '100', 'eBGP\nIPv6']]","['N', '12', 'N', '4']","['R5\n5.5.5.5\n1000::5', 0, ['5.5.5.5', '1000::5', '192.168.11.5', '192.168.2.17', '1212::1', 'fe80::ca69:ffff:fe00:0', '192.168.1.18', '4455::5', 'fe80::ca69:ffff:fe00:0']]","['R5\n5.5.5.5\n1000::5', '1000::1', '1000::5', '1010::10', '6666::1']"
"R10
1.10.10.10
1010::10","[['R10\n1.10.10.10\n1010::10', '1212::1', '100', 'eBGP\nIPv6']]","[['R10\n1.10.10.10\n1010::10', '1000::1', '100', 'eBGP\nIPv6'], ['R10\n1.10.10.10\n1010::10', '1000::5', '100', 'eBGP\nIPv6'], ['R10\n1.10.10.10\n1010::10', '1010::10', '400', 'eBGP\nIPv6'], ['R10\n1.10.10.10\n1010::10', '6666::1', '200', 'eBGP\nIPv6']]","['N', '10', 'N', '7']","['R10\n1.10.10.10\n1010::10', 0, ['1.10.10.10', '1010::10', '10.10.0.1', '5555::10', 'fe80::ca6e:ffff:fe00:0', '192.168.11.10', '192.168.2.18', '1212::2', 'fe80::ca6e:ffff:fe00:0']]","['R10\n1.10.10.10\n1010::10', '1000::1', '1000::5', '1010::10', '6666::1']"
